,id,alimento,quantidade_g,calorias_kcal,proteínas_g,carboidratos_g
0,1,Banana,1.0,90.0,1.0,23.0
1,2,Maçã,1.0,80.0,0.0,21.0
2,3,Ovo,1.0,70.0,6.0,0.0
3,4,Arroz,100.0,130.0,2.5,28.0
4,5,Macarrão,100.0,155.0,5.0,31.0
5,6,Carne,100.0,250.0,26.0,0.0
6,7,Pão,1.0,135.0,4.0,28.0
7,8,Frango,100.0,165.0,31.0,0.0
8,9,Whey,30.0,200.0,30.0,4.0
9,10,Feijão,100.0,80.0,5.0,14.0
10,11,Barra Cereal,26.0,112.0,2.2,7.8
11,13,Pão Hamburguer,62.5,194.0,5.8,33.0
12,14,MC - Double Cheeseburguer,1.0,780.0,29.0,77.0
13,16,Azeite,10.0,90.0,0.0,0.0
14,17,Aveia,100.0,369.0,12.0,60.0
15,18,Iogurte,125.0,120.0,10.0,10.0
16,19,Pasta de Amendoim,20.0,120.0,5.0,4.0
